Customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
CUST00133,83,4,378.38,4,4,4,444,High-Value Champions
CUST00134,316,3,287.26,2,2,3,223,Others
CUST00135,343,2,193.34,2,1,2,212,At-Risk
CUST00136,362,4,383.44,1,4,4,144,Others
CUST00137,62,2,192.45,4,1,2,412,One-Time Buyers
CUST00138,429,3,284.7,1,2,3,123,Others
CUST00139,74,2,189.36,4,1,2,412,One-Time Buyers
CUST00141,727,1,96.11,1,1,1,111,At-Risk
CUST00142,41,2,192.81,5,1,2,512,One-Time Buyers
CUST00143,6,6,572.01,5,5,5,555,High-Value Champions
CUST00144,25,2,189.05,5,1,1,511,One-Time Buyers
CUST00146,14,5,478.73,5,5,5,555,High-Value Champions
CUST00147,104,3,289.23,4,2,4,424,Potential Loyalists
CUST00148,240,4,377.81,2,4,4,244,Others
CUST00149,632,1,92.8,1,1,1,111,At-Risk
CUST00150,72,3,286.88,4,2,3,423,Potential Loyalists
CUST00151,427,2,190.99,1,1,2,112,At-Risk
CUST00152,317,2,193.48000000000002,2,1,2,212,At-Risk
CUST00153,73,3,287.57,4,2,3,423,Potential Loyalists
CUST00155,143,4,381.86,3,4,4,344,Loyal Customers
CUST00156,304,3,288.15,2,2,3,223,Others
CUST00157,45,7,662.16,5,5,5,555,High-Value Champions
CUST00158,169,2,193.34,3,1,2,312,One-Time Buyers
CUST00159,124,3,286.88,3,2,3,323,Others
CUST00160,162,7,670.24,3,5,5,355,Loyal Customers
CUST00161,148,4,386.01,3,4,4,344,Loyal Customers
CUST00162,311,5,477.57,2,5,5,255,Others
CUST00163,137,2,190.56,3,1,2,312,One-Time Buyers
CUST00164,32,2,192.45,5,1,2,512,One-Time Buyers
CUST00165,96,3,285.92,4,2,3,423,Potential Loyalists
CUST00166,225,1,94.67,2,1,1,211,At-Risk
CUST00167,21,3,288.61,5,2,3,523,Potential Loyalists
CUST00168,263,4,383.37,2,4,4,244,Others
CUST00169,523,4,377.95,1,4,4,144,Others
CUST00170,271,2,193.34,2,1,2,212,At-Risk
CUST00171,126,3,281.92,3,2,2,322,Others
CUST00172,197,3,288.24,3,2,3,323,Others
CUST00173,201,4,382.0,3,4,4,344,Loyal Customers
CUST00174,521,1,96.25,1,1,1,111,At-Risk
CUST00175,286,4,380.33,2,4,4,244,Others
CUST00176,17,4,378.26,5,4,4,544,High-Value Champions
CUST00177,255,4,385.48,2,4,4,244,Others
CUST00178,74,1,94.67,4,1,1,411,One-Time Buyers
CUST00179,77,7,666.27,4,5,5,455,High-Value Champions
CUST00180,344,2,189.76,1,1,2,112,At-Risk
CUST00181,177,3,286.89,3,2,3,323,Others
CUST00182,19,4,380.28,5,4,4,544,High-Value Champions
CUST00183,303,1,92.8,2,1,1,211,At-Risk
CUST00184,496,6,570.6,1,5,5,155,Others
CUST00185,6,4,383.03,5,4,4,544,High-Value Champions
CUST00186,369,4,381.72,1,4,4,144,Others
CUST00187,323,1,96.11,2,1,1,211,At-Risk
CUST00188,182,2,192.36,3,1,2,312,One-Time Buyers
CUST00189,553,1,94.45,1,1,1,111,At-Risk
CUST00190,392,2,190.99,1,1,2,112,At-Risk
CUST00191,607,3,283.72,1,2,3,123,Others
CUST00192,133,3,280.27,3,2,2,322,Others
CUST00193,100,6,565.97,4,5,5,455,High-Value Champions
CUST00194,221,4,374.93,2,4,4,244,Others
CUST00195,123,2,191.13,3,1,2,312,One-Time Buyers
CUST00196,146,2,190.92000000000002,3,1,2,312,One-Time Buyers
CUST00197,266,2,193.34,2,1,2,212,At-Risk
CUST00198,189,5,478.93,3,5,5,355,Loyal Customers
CUST00200,71,4,382.78,4,4,4,444,High-Value Champions
CUST00201,279,1,94.67,2,1,1,211,At-Risk
CUST00202,23,4,381.05,5,4,4,544,High-Value Champions
CUST00203,39,7,667.72,5,5,5,555,High-Value Champions
CUST00204,3,4,381.77,5,4,4,544,High-Value Champions
CUST00205,662,1,94.67,1,1,1,111,At-Risk
CUST00206,121,6,571.48,3,5,5,355,Loyal Customers
CUST00207,305,3,283.58,2,2,3,223,Others
CUST00208,80,2,191.9,4,1,2,412,One-Time Buyers
CUST00209,70,5,476.81,4,5,5,455,High-Value Champions
CUST00210,258,4,384.26,2,4,4,244,Others
CUST00211,391,3,286.23,1,2,3,123,Others
CUST00212,278,3,288.0,2,2,3,223,Others
CUST00213,28,3,285.87,5,2,3,523,Potential Loyalists
CUST00214,482,2,190.56,1,1,2,112,At-Risk
CUST00215,169,6,572.95,3,5,5,355,Loyal Customers
CUST00216,496,1,96.25,1,1,1,111,At-Risk
CUST00217,275,4,384.26,2,4,4,244,Others
CUST00218,218,2,191.01,2,1,2,212,At-Risk
CUST00219,155,4,382.67,3,4,4,344,Loyal Customers
CUST00220,70,7,662.7,4,5,5,455,High-Value Champions
CUST00221,159,1,95.89,3,1,1,311,One-Time Buyers
CUST00222,34,5,476.67,5,5,5,555,High-Value Champions
CUST00223,111,5,480.22,4,5,5,455,High-Value Champions
CUST00224,32,3,286.88,5,2,3,523,Potential Loyalists
CUST00225,349,3,286.56,1,2,3,123,Others
CUST00226,100,2,189.55,4,1,2,412,One-Time Buyers
CUST00227,556,2,191.68,1,1,2,112,At-Risk
CUST00228,133,5,480.89,3,5,5,355,Loyal Customers
CUST00229,174,2,193.48000000000002,3,1,2,312,One-Time Buyers
CUST00230,160,5,469.81,3,5,5,355,Loyal Customers
CUST00232,8,4,376.8,5,4,4,544,High-Value Champions
CUST00233,45,7,664.38,5,5,5,555,High-Value Champions
CUST00234,258,3,288.24,2,2,3,223,Others
CUST00235,491,2,190.56,1,1,2,112,At-Risk
CUST00236,264,2,187.68,2,1,1,211,At-Risk
CUST00237,199,4,380.59000000000003,3,4,4,344,Loyal Customers
CUST00238,546,2,191.01,1,1,2,112,At-Risk
CUST00239,54,5,476.17,4,5,5,455,High-Value Champions
CUST00240,92,3,289.13,4,2,4,424,Potential Loyalists
CUST00241,80,4,381.71000000000004,4,4,4,444,High-Value Champions
CUST00242,285,2,191.23000000000002,2,1,2,212,At-Risk
CUST00243,122,5,479.55,3,5,5,355,Loyal Customers
CUST00244,133,6,573.4,3,5,5,355,Loyal Customers
CUST00245,319,3,287.38,2,2,3,223,Others
CUST00246,58,3,283.57,4,2,3,423,Potential Loyalists
CUST00248,376,3,285.45,1,2,3,123,Others
CUST00249,414,2,188.91,1,1,1,111,At-Risk
CUST00250,144,3,284.0,3,2,3,323,Others
CUST00251,470,2,192.11,1,1,2,112,At-Risk
CUST00252,21,1,95.89,5,1,1,511,One-Time Buyers
CUST00253,143,2,191.68,3,1,2,312,One-Time Buyers
CUST00254,182,1,94.88,3,1,1,311,One-Time Buyers
CUST00255,472,2,191.68,1,1,2,112,At-Risk
CUST00256,43,5,481.81,5,5,5,555,High-Value Champions
CUST00257,494,2,188.9,1,1,1,111,At-Risk
CUST00258,156,4,384.11,3,4,4,344,Loyal Customers
CUST00259,50,2,191.9,4,1,2,412,One-Time Buyers
CUST00260,22,1,96.11,5,1,1,511,One-Time Buyers
CUST00261,428,1,96.11,1,1,1,111,At-Risk
CUST00262,385,2,189.34,1,1,2,112,At-Risk
CUST00263,70,5,480.67,4,5,5,455,High-Value Champions
CUST00264,90,2,188.69,4,1,1,411,One-Time Buyers
CUST00266,297,2,193.48000000000002,2,1,2,212,At-Risk
CUST00267,85,3,287.69,4,2,3,423,Potential Loyalists
CUST00268,119,2,189.05,3,1,1,311,One-Time Buyers
CUST00269,27,3,288.39,5,2,3,523,Potential Loyalists
CUST00270,30,7,670.03,5,5,5,555,High-Value Champions
CUST00271,40,3,286.59000000000003,5,2,3,523,Potential Loyalists
CUST00272,222,1,96.56,2,1,1,211,At-Risk
CUST00274,177,3,283.93,3,2,3,323,Others
CUST00275,352,4,376.37,1,4,4,144,Others
CUST00276,176,4,384.25,3,4,4,344,Loyal Customers
CUST00277,1,6,567.08,5,5,5,555,High-Value Champions
CUST00278,61,2,190.56,4,1,2,412,One-Time Buyers
CUST00279,99,2,188.91,4,1,1,411,One-Time Buyers
CUST00280,395,3,291.02,1,2,4,124,Others
CUST00281,368,1,92.8,1,1,1,111,At-Risk
CUST00282,61,2,193.48000000000002,4,1,2,412,One-Time Buyers
CUST00283,394,3,288.67,1,2,3,123,Others
CUST00284,55,4,379.92,4,4,4,444,High-Value Champions
CUST00285,193,4,384.4,3,4,4,344,Loyal Customers
CUST00286,141,4,381.5,3,4,4,344,Loyal Customers
CUST00287,128,3,286.57,3,2,3,323,Others
CUST00288,48,6,571.14,5,5,5,555,High-Value Champions
CUST00289,0,4,379.68,5,4,4,544,High-Value Champions
CUST00290,90,6,571.72,4,5,5,455,High-Value Champions
CUST00291,166,4,378.69,3,4,4,344,Loyal Customers
CUST00292,695,1,94.67,1,1,1,111,At-Risk
CUST00293,404,5,482.12,1,5,5,155,Others
CUST00294,57,6,570.81,4,5,5,455,High-Value Champions
CUST00295,283,3,290.35,2,2,4,224,Others
CUST00296,420,2,193.12,1,1,2,112,At-Risk
CUST00297,271,2,189.05,2,1,1,211,At-Risk
CUST00298,112,5,481.72,4,5,5,455,High-Value Champions
CUST00299,176,2,187.47,3,1,1,311,One-Time Buyers
CUST00300,112,2,190.92000000000002,4,1,2,412,One-Time Buyers
CUST00301,81,3,285.15999999999997,4,2,3,423,Potential Loyalists
CUST00302,445,2,190.78,1,1,2,112,At-Risk
CUST00303,75,3,281.85,4,2,2,422,Potential Loyalists
CUST00304,58,3,285.92,4,2,3,423,Potential Loyalists
CUST00305,28,4,383.37,5,4,4,544,High-Value Champions
CUST00306,76,6,576.49,4,5,5,455,High-Value Champions
CUST00307,145,2,188.9,3,1,1,311,One-Time Buyers
CUST00308,433,1,94.67,1,1,1,111,At-Risk
CUST00309,84,3,286.28,4,2,3,423,Potential Loyalists
CUST00310,396,1,94.67,1,1,1,111,At-Risk
CUST00311,83,2,194.46,4,1,2,412,One-Time Buyers
CUST00312,473,3,285.37,1,2,3,123,Others
CUST00313,127,6,575.91,3,5,5,355,Loyal Customers
CUST00314,91,5,475.19,4,5,5,455,High-Value Champions
CUST00315,385,1,95.89,1,1,1,111,At-Risk
CUST00317,17,1,97.23,5,1,1,511,One-Time Buyers
CUST00318,20,4,380.06,5,4,4,544,High-Value Champions
CUST00319,449,1,92.8,1,1,1,111,At-Risk
CUST00320,238,5,473.92,2,5,5,255,Others
CUST00321,547,2,191.01,1,1,2,112,At-Risk
CUST00322,59,2,192.0,4,1,2,412,One-Time Buyers
CUST00323,176,3,282.35,3,2,3,323,Others
CUST00324,154,4,385.79,3,4,4,344,Loyal Customers
CUST00325,27,6,571.69,5,5,5,555,High-Value Champions
CUST00326,562,1,96.25,1,1,1,111,At-Risk
CUST00327,1,2,190.03,5,1,2,512,One-Time Buyers
CUST00328,31,5,479.57,5,5,5,555,High-Value Champions
CUST00329,57,6,572.48,4,5,5,455,High-Value Champions
CUST00330,569,1,94.67,1,1,1,111,At-Risk
CUST00331,44,5,477.34000000000003,5,5,5,555,High-Value Champions
CUST00332,12,5,475.93,5,5,5,555,High-Value Champions
CUST00333,21,11,1055.5,5,5,5,555,High-Value Champions
CUST00334,15,2,191.01,5,1,2,512,One-Time Buyers
CUST00335,197,5,471.28,3,5,5,355,Loyal Customers
CUST00336,695,1,95.89,1,1,1,111,At-Risk
CUST00337,322,4,383.8,2,4,4,244,Others
CUST00338,19,7,660.52,5,5,5,555,High-Value Champions
CUST00339,214,2,191.9,2,1,2,212,At-Risk
CUST00340,30,2,189.34,5,1,2,512,One-Time Buyers
CUST00341,95,2,191.01,4,1,2,412,One-Time Buyers
CUST00342,0,10,951.25,5,5,5,555,High-Value Champions
CUST00343,6,4,379.92,5,4,4,544,High-Value Champions
CUST00344,80,2,192.5,4,1,2,412,One-Time Buyers
CUST00346,28,6,574.21,5,5,5,555,High-Value Champions
CUST00347,365,6,571.34,1,5,5,155,Others
CUST00348,184,4,378.69,3,4,4,344,Loyal Customers
CUST00349,181,4,381.26,3,4,4,344,Loyal Customers
CUST00350,26,6,572.9300000000001,5,5,5,555,High-Value Champions
CUST00351,174,5,474.97,3,5,5,355,Loyal Customers
CUST00352,68,5,473.94,4,5,5,455,High-Value Champions
CUST00353,59,2,188.91,4,1,1,411,One-Time Buyers
CUST00354,452,4,379.03,1,4,4,144,Others
CUST00355,56,4,382.7,4,4,4,444,High-Value Champions
CUST00356,517,2,190.92000000000002,1,1,2,112,At-Risk
CUST00358,183,6,574.38,3,5,5,355,Loyal Customers
CUST00359,25,5,481.9,5,5,5,555,High-Value Champions
CUST00360,168,2,187.68,3,1,1,311,One-Time Buyers
CUST00361,266,2,190.34,2,1,2,212,At-Risk
CUST00362,27,4,386.91,5,4,5,545,High-Value Champions
CUST00363,55,7,671.46,4,5,5,455,High-Value Champions
CUST00364,311,3,283.81,2,2,3,223,Others
CUST00365,440,1,96.56,1,1,1,111,At-Risk
CUST00366,150,4,381.76,3,4,4,344,Loyal Customers
CUST00367,188,2,193.34,3,1,2,312,One-Time Buyers
CUST00368,43,4,379.39,5,4,4,544,High-Value Champions
CUST00369,382,3,286.67,1,2,3,123,Others
CUST00370,201,3,285.15,3,2,3,323,Others
CUST00371,115,2,185.6,3,1,1,311,One-Time Buyers
CUST00372,68,9,861.11,4,5,5,455,High-Value Champions
CUST00373,114,2,187.25,4,1,1,411,One-Time Buyers
CUST00374,91,2,192.67000000000002,4,1,2,412,One-Time Buyers
CUST00375,192,2,189.34,3,1,2,312,One-Time Buyers
CUST00376,146,4,384.78,3,4,4,344,Loyal Customers
CUST00377,233,3,285.46000000000004,2,2,3,223,Others
CUST00378,106,4,382.12,4,4,4,444,High-Value Champions
CUST00379,431,2,192.45,1,1,2,112,At-Risk
CUST00380,96,4,382.38,4,4,4,444,High-Value Champions
CUST00381,349,2,190.56,1,1,2,112,At-Risk
CUST00382,20,3,287.12,5,2,3,523,Potential Loyalists
CUST00383,127,6,570.16,3,5,5,355,Loyal Customers
CUST00385,111,4,380.18,4,4,4,444,High-Value Champions
CUST00386,243,3,283.79,2,2,3,223,Others
CUST00387,67,3,289.01,4,2,4,424,Potential Loyalists
CUST00388,600,1,96.25,1,1,1,111,At-Risk
CUST00389,232,6,575.66,2,5,5,255,Others
CUST00390,416,2,187.68,1,1,1,111,At-Risk
CUST00391,318,6,575.73,2,5,5,255,Others
CUST00392,514,3,288.91,1,2,4,124,Others
CUST00393,8,3,282.35,5,2,3,523,Potential Loyalists
CUST00394,45,3,289.23,5,2,4,524,Potential Loyalists
CUST00395,271,2,192.14,2,1,2,212,At-Risk
CUST00396,218,5,477.12,2,5,5,255,Others
CUST00397,66,7,669.6,4,5,5,455,High-Value Champions
CUST00398,32,4,384.18,5,4,4,544,High-Value Champions
CUST00399,153,5,477.37,3,5,5,355,Loyal Customers
CUST00400,391,2,192.22,1,1,2,112,At-Risk
CUST00401,292,6,574.07,2,5,5,255,Others
CUST00402,9,5,477.87,5,5,5,555,High-Value Champions
CUST00403,159,3,287.79,3,2,3,323,Others
CUST00404,11,3,287.33,5,2,3,523,Potential Loyalists
CUST00405,375,1,92.8,1,1,1,111,At-Risk
CUST00406,55,3,288.7,4,2,4,424,Potential Loyalists
CUST00407,4,2,188.69,5,1,1,511,One-Time Buyers
CUST00408,19,2,191.9,5,1,2,512,One-Time Buyers
CUST00409,50,5,473.84000000000003,4,5,5,455,High-Value Champions
CUST00410,425,1,97.23,1,1,1,111,At-Risk
CUST00411,69,3,285.61,4,2,3,423,Potential Loyalists
CUST00412,34,3,288.25,5,2,3,523,Potential Loyalists
CUST00413,91,4,378.05,4,4,4,444,High-Value Champions
CUST00414,124,1,96.56,3,1,1,311,One-Time Buyers
CUST00415,166,3,287.79,3,2,3,323,Others
CUST00416,122,5,480.68,3,5,5,355,Loyal Customers
CUST00417,96,1,97.23,4,1,1,411,One-Time Buyers
CUST00418,55,4,382.67,4,4,4,444,High-Value Champions
CUST00419,283,2,191.01,2,1,2,212,At-Risk
CUST00420,35,3,288.75,5,2,4,524,Potential Loyalists
CUST00421,327,3,288.61,2,2,3,223,Others
CUST00422,134,1,92.8,3,1,1,311,One-Time Buyers
CUST00424,195,3,284.48,3,2,3,323,Others
CUST00425,205,2,190.34,2,1,2,212,At-Risk
CUST00426,451,4,382.91,1,4,4,144,Others
CUST00427,85,2,189.12,4,1,1,411,One-Time Buyers
CUST00428,347,2,194.46,1,1,2,112,At-Risk
CUST00429,201,6,573.83,3,5,5,355,Loyal Customers
CUST00430,0,3,287.26,5,2,3,523,Potential Loyalists
CUST00431,261,3,284.58,2,2,3,223,Others
CUST00432,649,1,96.56,1,1,1,111,At-Risk
CUST00433,38,7,656.66,5,5,5,555,High-Value Champions
CUST00434,142,4,380.53999999999996,3,4,4,344,Loyal Customers
CUST00435,114,4,382.57,4,4,4,444,High-Value Champions
CUST00436,148,1,96.25,3,1,1,311,One-Time Buyers
CUST00437,70,5,474.58,4,5,5,455,High-Value Champions
CUST00438,73,5,478.78,4,5,5,455,High-Value Champions
CUST00439,107,3,288.47,4,2,3,423,Potential Loyalists
CUST00440,175,2,192.36,3,1,2,312,One-Time Buyers
CUST00441,41,2,191.68,5,1,2,512,One-Time Buyers
CUST00442,583,1,94.45,1,1,1,111,At-Risk
CUST00443,90,3,286.45,4,2,3,423,Potential Loyalists
CUST00444,184,3,288.0,3,2,3,323,Others
CUST00445,266,2,190.03,2,1,2,212,At-Risk
CUST00448,115,2,193.12,3,1,2,312,One-Time Buyers
CUST00449,26,2,191.13,5,1,2,512,One-Time Buyers
CUST00450,180,2,189.36,3,1,2,312,One-Time Buyers
CUST00451,18,5,475.44,5,5,5,555,High-Value Champions
CUST00452,504,1,96.25,1,1,1,111,At-Risk
CUST00453,67,3,283.57,4,2,3,423,Potential Loyalists
CUST00454,39,3,286.99,5,2,3,523,Potential Loyalists
CUST00455,411,4,382.34000000000003,1,4,4,144,Others
CUST00456,175,2,192.81,3,1,2,312,One-Time Buyers
CUST00457,492,1,96.11,1,1,1,111,At-Risk
CUST00458,176,1,97.23,3,1,1,311,One-Time Buyers
CUST00459,420,4,380.95,1,4,4,144,Others
CUST00460,13,5,475.68,5,5,5,555,High-Value Champions
CUST00461,55,2,192.11,4,1,2,412,One-Time Buyers
CUST00462,379,3,285.46000000000004,1,2,3,123,Others
CUST00463,78,4,384.64,4,4,4,444,High-Value Champions
CUST00464,59,5,478.27,4,5,5,455,High-Value Champions
CUST00465,263,3,287.26,2,2,3,223,Others
CUST00467,105,4,380.25,4,4,4,444,High-Value Champions
CUST00469,117,5,480.0,3,5,5,355,Loyal Customers
CUST00470,99,1,92.8,4,1,1,411,One-Time Buyers
CUST00471,55,4,376.15999999999997,4,4,4,444,High-Value Champions
CUST00472,615,1,96.25,1,1,1,111,At-Risk
CUST00473,611,1,96.25,1,1,1,111,At-Risk
CUST00474,19,4,383.15,5,4,4,544,High-Value Champions
CUST00475,180,3,286.45,3,2,3,323,Others
CUST00476,326,2,189.55,2,1,2,212,At-Risk
CUST00477,322,3,285.89,2,2,3,223,Others
CUST00478,17,3,288.22,5,2,3,523,Potential Loyalists
CUST00479,245,3,286.81,2,2,3,223,Others
CUST00480,18,6,569.37,5,5,5,555,High-Value Champions
CUST00481,120,2,193.48000000000002,3,1,2,312,One-Time Buyers
CUST00483,228,3,289.73,2,2,4,224,Others
CUST00484,161,6,574.36,3,5,5,355,Loyal Customers
CUST00485,27,8,763.26,5,5,5,555,High-Value Champions
CUST00486,177,1,96.11,3,1,1,311,One-Time Buyers
CUST00487,443,3,284.0,1,2,3,123,Others
CUST00488,139,2,193.48000000000002,3,1,2,312,One-Time Buyers
CUST00489,60,3,281.49,4,2,2,422,Potential Loyalists
CUST00490,335,3,286.9,2,2,3,223,Others
CUST00491,125,6,569.7,3,5,5,355,Loyal Customers
CUST00492,336,3,285.68,2,2,3,223,Others
CUST00493,117,4,378.17,3,4,4,344,Loyal Customers
CUST00495,226,3,287.26,2,2,3,223,Others
CUST00496,71,2,192.67000000000002,4,1,2,412,One-Time Buyers
CUST00497,135,5,476.31,3,5,5,355,Loyal Customers
CUST00498,28,2,192.81,5,1,2,512,One-Time Buyers
CUST00499,46,4,379.37,5,4,4,544,High-Value Champions
CUST00500,91,3,289.06,4,2,4,424,Potential Loyalists
